# units: J=k_B=1; time in sweeps (one sweep = N^2 attempted updates)
sweep,E_per_spin_mean,E_per_spin_lo,E_per_spin_hi,L_C_mean,L_C_lo,L_C_hi,L_S_mean,L_S_lo,L_S_hi
0,-0.2042236328125,-0.22539084877652157,-0.18305641684847843,0.6727648031829322,0.6654453049099025,0.6800843014559619,4.355055315582348,4.2461573818528775,4.463953249311818
1,-0.44384765625,-0.4590052887918186,-0.4286900237081814,0.719573783004582,0.7129622851688943,0.7261852808402697,4.577932935977917,4.4779551213257855,4.677910750630049
2,-0.541259765625,-0.5548939119633526,-0.5276256192866474,0.754771805463874,0.7481744546097613,0.7613691563179867,4.762392732601766,4.658800585726862,4.86598487947667
3,-0.6021728515625,-0.6168922848412925,-0.5874534182837075,0.7827202030098308,0.7749936302587175,0.7904467757609441,4.8994023191294405,4.801743843197145,4.997060795061736
4,-0.64404296875,-0.6582929724520213,-0.6297929650479787,0.8020336035338725,0.7946859420910858,0.8093812649766593,4.999597683440193,4.911427493992287,5.087767872888099
5,-0.6768798828125,-0.6905077300300283,-0.6632520355949717,0.8211131186193045,0.8143878138300668,0.8278384234085422,5.105368229678692,5.019819324008356,5.190917135349029
6,-0.70068359375,-0.7169488044806873,-0.6844183830193127,0.835137771736452,0.827571447798187,0.8427040956747169,5.18534312124358,5.0996829351409545,5.271003307346206
7,-0.7340087890625,-0.7468939318238198,-0.7211236463011802,0.8518931777909922,0.8442923369052449,0.8594940186767395,5.264134897358026,5.1731842718346845,5.355085522881368
9,-0.773681640625,-0.7843492311612037,-0.7630140500887963,0.8785106192057359,0.8721822422406533,0.8848389961708185,5.399124294871841,5.318241825268353,5.48000676447533
11,-0.8043212890625,-0.8130621115766559,-0.7955804665483441,0.899397792338724,0.8935318213470299,0.905263763330418,5.504141574297804,5.428750820590085,5.579532328005523
14,-0.8426513671875,-0.8501733232570075,-0.8351294111179925,0.9234499058689405,0.917645204749975,0.929254606987906,5.624723017526389,5.53988977648419,5.709556258568587
17,-0.8656005859375,-0.8742737874487599,-0.8569273844262401,0.9410593532410712,0.9338718078567481,0.9482468986253942,5.709839050175936,5.623233711773868,5.796444388578004
21,-0.8887939453125,-0.8958305993822471,-0.8817572912427529,0.9593440789756164,0.9527423328032204,0.9659458251480123,5.813241110342596,5.740445434513432,5.88603678617176
26,-0.9246826171875,-0.9346638974328308,-0.9147013369421692,0.987704069778997,0.9765646557071977,0.9988434838507964,5.973605249145811,5.883968986549097,6.0632415117425245
33,-0.9583740234375,-0.9655987522424153,-0.9511492946325847,1.0302349451354345,1.0135198195529214,1.0469500707179475,6.129410977846958,6.047198821024737,6.211623134669179
41,-0.9837646484375,-0.9926317926482594,-0.9748975042267406,1.072152196698628,1.0559108460175617,1.0883935473796944,6.2667106436377935,6.191200538304838,6.342220748970749
51,-1.0179443359375,-1.025727036111322,-1.010161635763678,1.1257990519556365,1.1169005954570903,1.1346975084541826,6.422124680537545,6.368949042503747,6.4753003185713425
63,-1.048583984375,-1.0577758004594022,-1.0393921682905978,1.1732253377934276,1.1596075931211633,1.186843082465692,6.5919753056916575,6.532827158430649,6.651123452952666
79,-1.0743408203125,-1.0812271162380704,-1.0674545243869296,1.2196835219423714,1.2081199085193912,1.2312471353653516,6.767547472530707,6.708157566967739,6.8269373780936755
98,-1.0968017578125,-1.1028266835732352,-1.0907768320517648,1.259587888604878,1.2462500915982002,1.2729256856115556,6.929302121742423,6.846843290679623,7.011760952805223
122,-1.12744140625,-1.1420630145314703,-1.1128197979685297,1.3088139393679703,1.2806505064889808,1.3369773722469598,7.114918724140184,7.002535964235193,7.227301484045174
152,-1.1566162109375,-1.1698865361283297,-1.1433458857466703,1.3555665855382568,1.3313478218449324,1.3797853492315812,7.296605044980987,7.180463779457429,7.412746310504546
189,-1.1866455078125,-1.194873579534584,-1.178417436090416,1.4190493008624887,1.3997586845916656,1.4383399171333118,7.548229986807739,7.447564539550533,7.648895434064944
235,-1.2054443359375,-1.21704715758304,-1.19384151429196,1.4546340038181573,1.4299068380840727,1.479361169552242,7.70680067566661,7.6085918928809075,7.805009458452313
292,-1.231689453125,-1.2431892718292195,-1.2201896344207805,1.501844167939709,1.4772757437425161,1.5264125921369018,7.899890678900315,7.775587580150528,8.024193777650101
364,-1.25634765625,-1.2699011940896971,-1.2427941184103029,1.5535947384822668,1.5268093457690657,1.580380131195468,8.133564735182299,8.007642037703494,8.259487432661103
453,-1.2760009765625,-1.2901308246172885,-1.2618711285077115,1.6086154021597259,1.5758193540771814,1.6414114502422703,8.36071138117326,8.200879733908817,8.520543028437704
563,-1.2998046875,-1.3121296392730375,-1.2874797357269625,1.6698694844224105,1.6425434107937213,1.6971955580510996,8.65057387062828,8.522995220015385,8.778152521241175
700,-1.32470703125,-1.3387954388867447,-1.3106186236132553,1.7409394484236764,1.711522704721411,1.7703561921259419,8.95902381086347,8.845124681594486,9.072922940132456
871,-1.354736328125,-1.3681039675745674,-1.3413686886754326,1.8243289058680885,1.795988706269008,1.852669105467169,9.364982712060373,9.237074032617238,9.492891391503507
1084,-1.372314453125,-1.3833971152635613,-1.3612317909864387,1.8787314075148918,1.8495840054811081,1.9078788095486754,9.654201062497854,9.500965589538525,9.807436535457184
1349,-1.3924560546875,-1.4008338295179388,-1.3840782798570612,1.9604258445899005,1.9280540713273389,1.9927976178524622,10.012651180959287,9.86368493851011,10.161617423408464
1678,-1.4046630859375,-1.4160381418859915,-1.3932880299890085,2.02736035521933,1.9831160978973141,2.0716046125413454,10.29971333518425,10.11057038326727,10.488856287101232
2087,-1.435791015625,-1.4468500410272138,-1.4247319902227862,2.176010599360108,2.128897805612079,2.223123393108137,10.850504078248022,10.661722946909732,11.039285209586312
2597,-1.45703125,-1.4660451953107163,-1.4480173046892837,2.2940640153930314,2.2670845630305196,2.321043467755543,11.356089621069152,11.222230981674894,11.489948260463411
3231,-1.4798583984375,-1.4883563464473701,-1.4713604504276299,2.430831479127652,2.394524431023951,2.4671385272313535,11.920211185060097,11.767009399602058,12.073412970518136
4019,-1.50341796875,-1.514050238584282,-1.492785698915718,2.593496700021358,2.5335402690123936,2.653453131030322,12.56229018148467,12.35218767794669,12.77239268502265
5000,-1.5224609375,-1.5326982362377346,-1.5122236387622654,2.730532093571128,2.6636151067713225,2.7974490803709333,13.10563535335602,12.806221604171514,13.405049102540525
