# units: J=k_B=1; time in sweeps (one sweep = N^2 attempted updates)
sweep,energy,energy_per_spin,magnetisation,broken_bond_density,L_C,L_S,characteristic_k,cluster_number_density,acceptance_rate
0,-764,-0.1865234375,0,0.453369140625,0.676552340988182,4.348172603949641,1.4450174543375498,0.09765625,nan
1,-1776,-0.43359375,0,0.3916015625,0.71801603132606,4.570428831417852,1.3747474337611332,0.041259765625,0.19482421875
2,-2176,-0.53125,0,0.3671875,0.7511360049207346,4.728864565905328,1.328687937582473,0.030517578125,0.13818359375
3,-2436,-0.5947265625,0,0.351318359375,0.7777608317698325,4.862809502131373,1.292089542974213,0.0244140625,0.11474609375
4,-2664,-0.650390625,0,0.33740234375,0.8058405879121606,5.010000844363116,1.254128592463006,0.02197265625,0.101318359375
5,-2852,-0.6962890625,0,0.325927734375,0.8336013551068165,5.162532432021894,1.2170742537531702,0.018310546875,0.079833984375
6,-2932,-0.7158203125,0,0.321044921875,0.8425531431701179,5.2149492136393745,1.2048411307144289,0.017333984375,0.078857421875
7,-3052,-0.7451171875,0,0.313720703125,0.8567722729853647,5.291539596509495,1.1874021147501606,0.015380859375,0.074951171875
9,-3244,-0.7919921875,0,0.302001953125,0.8909724050109333,5.448911403839409,1.1531083626634728,0.01171875,0.0655517578125
11,-3356,-0.8193359375,0,0.295166015625,0.9110365267282802,5.53963116622838,1.1342244851036625,0.01220703125,0.059814453125
14,-3468,-0.8466796875,0,0.288330078125,0.9296825166828625,5.635147900852169,1.1149991832919628,0.01123046875,0.055338541666666664
17,-3572,-0.8720703125,0,0.281982421875,0.9473713168539233,5.693496025331157,1.1035724411196248,0.0107421875,0.049723307291666664
21,-3652,-0.8916015625,0,0.277099609375,0.9610860463852161,5.771071093705053,1.0887381571218444,0.0087890625,0.04833984375
26,-3780,-0.9228515625,0,0.269287109375,0.9859732707394411,5.919754343332905,1.0613929130785626,0.010498046875,0.047265625
33,-3964,-0.9677734375,0,0.258056640625,1.0525067674065645,6.130116751396286,1.0249699250423632,0.009765625,0.03916713169642857
41,-4104,-1.001953125,0,0.24951171875,1.1040650096755178,6.296498814918032,0.9978855697221918,0.00830078125,0.031524658203125
51,-4236,-1.0341796875,0,0.241455078125,1.1444856715441478,6.404805523116888,0.9810110993224794,0.008056640625,0.0352783203125
63,-4328,-1.056640625,0,0.23583984375,1.1881695362048583,6.601112092737565,0.9518373902622019,0.006591796875,0.035319010416666664
79,-4436,-1.0830078125,0,0.229248046875,1.2344536700614317,6.74988018633126,0.930858790635018,0.006103515625,0.03228759765625
98,-4544,-1.109375,0,0.22265625,1.277246948718114,6.97671573995609,0.9005935659948691,0.00634765625,0.026598478618421052
122,-4620,-1.1279296875,0,0.218017578125,1.2996946617171394,7.078624598527355,0.8876279875735672,0.007080078125,0.025177001953125
152,-4688,-1.14453125,0,0.2138671875,1.3457550668335931,7.254150518415319,0.8661503909009264,0.0068359375,0.027189127604166665
189,-4804,-1.1728515625,0,0.206787109375,1.4017661881013603,7.5067206834607925,0.8370080055093878,0.005615234375,0.02467139991554054
235,-4880,-1.19140625,0,0.2021484375,1.4412128466478642,7.675184791203729,0.8186363557500965,0.005859375,0.025847061820652172
292,-5020,-1.2255859375,0,0.193603515625,1.4984264318322176,7.933804146437812,0.791951148680758,0.004150390625,0.022041186951754384
364,-5144,-1.255859375,0,0.18603515625,1.5489521642405544,8.117874291406732,0.7739939153567238,0.0048828125,0.020463731553819444
453,-5232,-1.27734375,0,0.1806640625,1.6068269540200717,8.344913000171662,0.7529359871157837,0.005126953125,0.020329507549157303
563,-5412,-1.3212890625,0,0.169677734375,1.6933169034752047,8.759363274508218,0.7173107348413229,0.0029296875,0.019673295454545454
700,-5468,-1.3349609375,0,0.166259765625,1.769996567536259,9.00574788567537,0.6976861207911096,0.003173828125,0.01871507185218978
871,-5408,-1.3203125,0,0.169921875,1.771215925512856,9.124546980461508,0.6886024391823331,0.00537109375,0.018133509228801168
1084,-5664,-1.3828125,0,0.154296875,1.8821698173038244,9.631216091162509,0.652377150269213,0.00244140625,0.01774432401701878
1349,-5700,-1.3916015625,0,0.152099609375,1.9307864872359721,9.790845062590245,0.6417408576085996,0.002685546875,0.017197634139150944
1678,-5768,-1.408203125,0,0.14794921875,2.022158830155858,10.199628861332203,0.6160209741552225,0.0029296875,0.015537435885258358
2087,-5916,-1.4443359375,0,0.138916015625,2.1868676472263906,10.70576011389312,0.5868976364439314,0.0029296875,0.01607746599938875
2597,-5980,-1.4599609375,0,0.135009765625,2.3053213945611137,11.411713785624809,0.550590859989359,0.00390625,0.016046740962009805
3231,-6020,-1.4697265625,0,0.132568359375,2.4283736968461476,11.908866920423202,0.5276056361335426,0.004150390625,0.01540126860705836
4019,-6160,-1.50390625,0,0.1240234375,2.617787052010208,12.638399326506635,0.4971504021084222,0.00341796875,0.014827515268083756
5000,-6308,-1.5400390625,0,0.114990234375,2.7690265029682872,13.31561718292509,0.4718658715449295,0.002685546875,0.013728368294469929
