# units: J=k_B=1; time in sweeps (one sweep = N^2 attempted updates)
sweep,energy,energy_per_spin,magnetisation,broken_bond_density,L_C,L_S,characteristic_k,cluster_number_density,acceptance_rate
0,-824,-0.201171875,0,0.44970703125,0.6756695743637192,4.444004713733473,1.4138565802512373,nan,nan
1,-1872,-0.45703125,0,0.3857421875,0.723432749081244,4.690699145387693,1.3394986786474603,nan,0.1943359375
2,-2252,-0.5498046875,0,0.362548828125,0.7595088908658763,4.875047660796028,1.288845924052695,nan,0.13818359375
3,-2464,-0.6015625,0,0.349609375,0.7855478789325765,5.01040039940418,1.2540285818128951,nan,0.109130859375
4,-2688,-0.65625,0,0.3359375,0.8203947430170381,5.206204963168163,1.2068647607289058,nan,0.09912109375
5,-2904,-0.708984375,0,0.32275390625,0.8458561937150514,5.317618450296108,1.181578815010639,nan,0.093017578125
6,-3012,-0.7353515625,0,0.316162109375,0.8547922776367687,5.338443801361964,1.176969457948887,nan,0.074951171875
7,-3064,-0.748046875,0,0.31298828125,0.8599022945738201,5.372393283985822,1.1695318966890749,nan,0.069580078125
9,-3196,-0.7802734375,0,0.304931640625,0.8888313796641855,5.55410262142243,1.1312692140301928,nan,0.0665283203125
12,-3372,-0.8232421875,0,0.294189453125,0.915222979484543,5.671033045496303,1.1079436950503099,nan,0.060139973958333336
14,-3540,-0.8642578125,0,0.283935546875,0.9415148396224626,5.803420147903623,1.0826693823726117,nan,0.0599365234375
18,-3712,-0.90625,0,0.2734375,0.9741030131534132,5.957385861021602,1.0546883236638485,nan,0.05230712890625
22,-3832,-0.935546875,0,0.26611328125,1.0008622847350388,6.097484320053677,1.0304553447583569,nan,0.0433349609375
28,-3924,-0.9580078125,0,0.260498046875,1.0461064298991039,6.222302360260699,1.009784633306752,nan,0.043131510416666664
35,-4016,-0.98046875,0,0.2548828125,1.0743897578624375,6.344543413840997,0.9903289956961199,nan,0.038853236607142856
44,-4216,-1.029296875,0,0.24267578125,1.1506712871650175,6.548854653545966,0.9594327007666097,nan,0.038519965277777776
54,-4292,-1.0478515625,0,0.238037109375,1.1821932759204905,6.647472494095425,0.9451991433978231,nan,0.0334716796875
68,-4412,-1.0771484375,0,0.230712890625,1.2224170305745847,6.762109942282055,0.9291752664197526,nan,0.030360630580357144
85,-4436,-1.0830078125,0,0.229248046875,1.2343594620070002,6.836225970733225,0.9191014653521873,nan,0.03185317095588235
106,-4580,-1.1181640625,0,0.220458984375,1.2965199921352135,7.070874858798392,0.8886008354908626,nan,0.030308314732142856
132,-4716,-1.1513671875,0,0.212158203125,1.3442457686153308,7.243732360357772,0.8673961149593408,nan,0.026761568509615384
165,-4804,-1.1728515625,0,0.206787109375,1.3873996491330993,7.38441394886062,0.8508712202068591,nan,0.02483575994318182
206,-4868,-1.1884765625,0,0.202880859375,1.4129904620114044,7.516260101615535,0.8359456993550671,nan,0.022580030487804877
258,-4932,-1.2041015625,0,0.198974609375,1.4516401250642281,7.722482988327364,0.8136224212700377,nan,0.02281775841346154
322,-5132,-1.2529296875,0,0.186767578125,1.5439922589910917,8.135529390407383,0.7723142534016411,nan,0.021728515625
402,-5204,-1.2705078125,0,0.182373046875,1.58201603773547,8.292030959120332,0.7577378012884487,nan,0.01968994140625
502,-5316,-1.2978515625,0,0.175537109375,1.6652195731453823,8.681597499732664,0.7237360759207123,nan,0.01853271484375
626,-5412,-1.3212890625,0,0.169677734375,1.7329742009609364,9.0532162584127,0.6940279705945318,nan,0.019436743951612902
782,-5472,-1.3359375,0,0.166015625,1.7873556004724747,9.351867677299644,0.6718642226334257,nan,0.018448267227564104
977,-5628,-1.3740234375,0,0.156494140625,1.8714051226369937,9.690741852962951,0.6483698980443379,nan,0.017923677884615383
1220,-5760,-1.40625,0,0.1484375,1.9769131447379555,10.248746078760657,0.6130686875149305,nan,0.016886895576131686
1523,-5788,-1.4130859375,0,0.146728515625,2.053716089262852,10.622202367676765,0.5915143667662786,nan,0.017380717563943895
1902,-5916,-1.4443359375,0,0.138916015625,2.159179673179122,11.022296416891658,0.5700432169062892,nan,0.01601665567282322
2375,-5996,-1.4638671875,0,0.134033203125,2.286364700646984,11.500366310677615,0.5463465369225594,nan,0.015731843783033828
2965,-6032,-1.47265625,0,0.1318359375,2.4091061588976066,12.02874618123712,0.5223474843105701,nan,0.015629137976694914
3702,-6156,-1.5029296875,0,0.124267578125,2.5397076050182887,12.539810721171124,0.5010590228903219,nan,0.014847857657734057
4623,-6368,-1.5546875,0,0.111328125,2.8305619438672815,13.499485345375833,0.46543887758890407,nan,0.013703684853420195
5772,-6396,-1.5615234375,0,0.109619140625,2.9877658123370976,14.102767955037361,0.4455285180336033,nan,0.013396287192667536
7208,-6488,-1.583984375,0,0.10400390625,3.275186476066912,15.096939454371984,0.41618934262599916,nan,0.012714184094272284
9000,-6532,-1.5947265625,0,0.101318359375,3.362063097586638,15.371495795032796,0.4087556208557113,nan,0.01169449942452567
