# units: J=k_B=1; time in sweeps (one sweep = N^2 attempted updates)
N,T_f_over_Tc,T_i_hot,T_i_cold,upper,L_C_D,L_S_D,L_E_D,n_hot_significant,p_pair,fdr_supported_inversion
32,0.5,3.5,2.8,1882.0,-0.11183508565168565,0.15173293950901012,-0.1984763391776605,0,0.945,False
32,0.5,5.0,2.8,1882.0,-0.1477975387189956,0.21198921127459602,-0.37574795508680214,0,0.992,False
32,0.5,10.0,2.8,1882.0,-0.022776821432901384,0.6547238528075114,-0.15157884432410484,1,0.64925,False
32,0.5,5.0,3.5,4000.0,-0.0858923671291758,0.0558288052607967,-0.17507058311897694,0,0.92,False
32,0.5,10.0,3.5,4000.0,-0.04729190254623106,0.15927942593193123,-0.07251111962761136,0,0.7805,False
32,0.5,10.0,5.0,4000.0,0.03860046458294475,0.10345062067113453,0.10255946349136558,0,0.24375,False
32,0.6,3.5,2.8,885.0,-0.1623825073620937,-0.04104816786778631,-0.21362233488646187,0,0.89925,False
32,0.6,5.0,2.8,885.0,-0.12813892019835604,0.7177840088196392,-0.2506025791329003,0,0.87775,False
32,0.6,10.0,2.8,885.0,-0.1861981257745705,0.26770434314992997,-0.4539071508211012,0,0.96425,False
32,0.6,5.0,3.5,2420.0,0.03666835367190591,0.7981897353768037,0.05196819499792227,0,0.36175,False
32,0.6,10.0,3.5,2420.0,-0.0021183524806049903,0.4419916312167764,0.018006287628792084,0,0.4555,False
32,0.6,10.0,5.0,3111.0,-0.04959476030609822,-0.41835025549849725,-0.1465206988795673,0,0.7925,False
32,0.75,3.5,2.8,536.0,-0.1749126255322888,0.34208832077154394,-0.4206733075929827,0,0.945,False
32,0.75,5.0,2.8,536.0,-0.10008592264784344,0.9375002344521013,-0.5529049148541518,1,0.83575,False
32,0.75,10.0,2.8,536.0,-0.12735469833742208,0.8852610798232528,-0.5407006121221074,0,0.878,False
32,0.75,5.0,3.5,1464.0,-0.005146106921219307,0.471453670492755,-0.18748496333473508,0,0.51475,False
32,0.75,10.0,3.5,1464.0,-0.043539043518791676,0.2614292825232738,-0.31340141232285745,0,0.6695,False
32,0.75,10.0,5.0,1882.0,-0.21202211698514972,-0.6764339803176238,-0.6702434581899714,0,0.96075,False
64,0.5,2.8,2.4,8000.0,-0.5393147511279108,-0.7969718132121386,-1.593961755784945,0,0.999875,False
64,0.5,3.5,2.4,8000.0,-0.6400956478268947,-0.4954938565867213,-1.768753338073167,0,0.999875,False
64,0.5,5.0,2.4,8000.0,-0.7641017854298182,-0.3443141465238604,-1.9551635424281306,0,0.999875,False
64,0.5,10.0,2.4,8000.0,-0.7424922214819922,-0.13081108442280964,-1.9510882924824275,0,0.999875,False
64,0.5,3.5,2.8,8000.0,-0.10078089669898382,0.3014779566254173,-0.174791582288222,0,0.9339999999999999,False
64,0.5,5.0,2.8,8000.0,-0.22478703430190738,0.4526576666882782,-0.3612017866431856,1,0.9995,False
64,0.5,10.0,2.8,8000.0,-0.2031774703540814,0.666160728789329,-0.3571265366974825,1,0.99925,False
64,0.5,5.0,3.5,8000.0,-0.12400613760292356,0.1511797100628609,-0.18641020435496358,0,0.98925,False
64,0.5,10.0,3.5,8000.0,-0.10239657365509758,0.36468277216391165,-0.1823349544092605,0,0.9735,False
64,0.5,10.0,5.0,8000.0,0.021609563947825983,0.21350306210105074,0.004075249945703074,0,0.294,False
64,0.6,2.8,2.4,8000.0,-0.4724557085814576,-0.7816714461449266,-1.5140559281216164,0,0.99975,False
64,0.6,3.5,2.4,8000.0,-0.5271468995609734,0.10677324018964818,-1.6439097031900562,0,0.999875,False
64,0.6,5.0,2.4,8000.0,-0.724937381934291,-0.2416395828672453,-1.8515836540879387,0,0.999875,False
64,0.6,10.0,2.4,8000.0,-0.7069863309459796,0.010124173749245458,-1.8355385844637566,0,0.999875,False
64,0.6,3.5,2.8,8000.0,-0.0546911909795158,0.8884446863345747,-0.12985377506843987,1,0.744,False
64,0.6,5.0,2.8,8000.0,-0.25248167335283345,0.5400318632776813,-0.3375277259663223,0,0.998,False
64,0.6,10.0,2.8,8000.0,-0.23453062236452205,0.791795619894172,-0.32148265634214024,1,0.99675,False
64,0.6,5.0,3.5,8000.0,-0.19779048237331764,-0.3484128230568935,-0.20767395089788243,0,0.99825,False
64,0.6,10.0,3.5,8000.0,-0.17983943138500624,-0.09664906644040272,-0.19162888127370037,0,0.995,False
64,0.6,10.0,5.0,8000.0,0.0179510509883114,0.25176375661649075,0.016045069624182062,0,0.38875,False
64,0.75,2.8,2.4,3183.0,-0.4254457830945242,0.11997867495074743,-1.2090804002676645,0,0.997,False
64,0.75,3.5,2.4,3183.0,-0.5807553858894119,0.4391647569178154,-1.3860291968633947,0,0.999875,False
64,0.75,5.0,2.4,3183.0,-0.6663319227907607,0.5933837110991469,-1.4363444928232454,0,0.999875,False
64,0.75,10.0,2.4,3183.0,-0.701144308669666,0.8638546614165072,-1.5207761168469527,1,0.999875,False
64,0.75,3.5,2.8,8000.0,-0.22462749368381596,0.2890493324845771,-0.35290503325514333,0,0.97425,False
64,0.75,5.0,2.8,8000.0,-0.22563426946935783,0.3748917489056236,-0.3293769751157769,0,0.95525,False
64,0.75,10.0,2.8,8000.0,-0.2042084688655854,1.0319930541890994,-0.28733708629556887,1,0.9385,False
64,0.75,5.0,3.5,8000.0,-0.001006775785541869,0.08584241642104651,0.023528058139366426,0,0.41175,False
64,0.75,10.0,3.5,8000.0,0.020419024818230547,0.7429437217045223,0.06556794695957446,1,0.28,False
64,0.75,10.0,5.0,8000.0,0.021425800603772416,0.6571013052834758,0.04203988882020804,1,0.3855,False
