# units: J=k_B=1; time in sweeps (one sweep = N^2 attempted updates)
model,estimator,exponent,D_final,ci_low,ci_high,fdr_significant,late_sign
fixed_0.30,L_C,0.300,-0.790932343777035,-0.9026448792081687,-0.6790459849423189,True,-1
fixed_0.30,L_S,0.300,-0.013319375403856526,-0.34633751419670566,0.33942918872226063,False,0
fixed_0.30,L_E,0.300,-1.532226712823796,-1.6587393180710033,-1.4052553613568666,True,-1
fixed_1/3,L_C,0.333,-0.7423917436644527,-0.8492127335704367,-0.6347022975319458,True,-1
fixed_1/3,L_S,0.333,-0.019424429468930526,-0.3376363179755349,0.31857032124678736,False,0
fixed_1/3,L_E,0.333,-1.4532513698615173,-1.5747351935133045,-1.3315046611674015,True,-1
fixed_0.36,L_C,0.360,-0.7100324385518415,-0.8141967027911754,-0.605995701677842,True,-1
fixed_0.36,L_S,0.360,-0.023477679957828457,-0.33185207409952494,0.3045253454646545,False,0
fixed_0.36,L_E,0.360,-1.400588922042437,-1.519587215798353,-1.281446767999643,True,-1
free,L_C,free,-1.4078443212410132,-1.530670830887617,-1.2961035698539276,True,-1
free,L_S,free,0.4007882952935411,0.10934818359250449,0.6604619021886774,True,1
free,L_E,free,-1.5680201931190014,-1.6837569106070187,-1.4622628708636185,True,-1
